Label,Target,Elevation,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev,MS_B1,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,Cluster
Background,0,1511.8469238,5.1746101,62.9786873,-0.0017843,0.0022235,1.4e-06,-0.000653,-0.0029156,2.2485447,0.0001986,0.0004908,156.1601715,157.2399902,170.5784302,171.6429596,553,835,1221,2279,1.7293413,0.4845653,0.4637123,2.2079566,0.4641841,0.7354664,0.3022857,-0.4637123,1.8665029,-0.2568197,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3369.3847656,4397.0581055,
Background,0,1590.0446777,11.2885551,247.986618,0.0008575,0.0031714,-8.6e-06,0.0036908,-0.0019758,4.755281,0.0004214,0.0008395,222.5061798,223.6001587,325.0,325.7929382,615,1001,1484,2994,1.991009,0.5180814,0.4988736,2.4130082,0.5043003,0.7564493,0.3372041,-0.4988736,2.0175202,-0.2582888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1650.050293,4707.6831055,
Background,0,1494.3769531,3.3246398,3.3291571,-0.0011942,0.001486,6e-07,-0.0018944,-0.000494,1.4630823,7.3e-05,0.0005471,24.7588367,24.7568874,24.7588367,24.7568874,838,1360,2050,3518,1.5867647,0.3849381,0.4423944,2.4463007,0.417248,0.7433573,0.2636494,-0.4423944,1.7160976,-0.2682737,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3666.7255859,3978.9367676,
Background,0,1511.5626221,1.124285,235.706192,-0.0013771,0.0014122,1.8e-06,-0.0012113,-0.0015428,0.6238138,0.0002058,0.0006136,17.0,17.0004215,17.0,17.0004215,551,935,1354,2929,2.1326203,0.5688796,0.5160456,2.4573503,0.5376837,0.752239,0.3677329,-0.5160456,2.1632202,-0.2410817,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2950.7973633,3784.8088379,
Background,0,1535.3411865,3.1666944,296.4407654,0.0004481,0.0011428,-9e-07,0.0003406,0.0005556,1.3785925,7e-07,2.9e-05,91.2414398,91.174736,190.9057312,191.0770264,431,747,1163,2260,2.025435,0.4565887,0.5031593,2.6983759,0.485343,0.782075,0.3204791,-0.5031593,1.9432502,-0.2812711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2538.5175781,3753.3259277,
Background,0,1569.2054443,7.880681,326.0168152,0.0009313,0.0027421,-5.8e-06,0.00199,-0.0001275,3.4268475,0.0002353,0.0005468,172.9046021,173.3617554,172.9046021,173.3617554,444,777,1147,2416,2.109395,0.531496,0.5133104,2.5833333,0.5251967,0.7599481,0.3561606,-0.5133104,2.1063645,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176.6096191,3843.1472168,
Background,0,1525.5740967,2.0523376,122.9692612,0.0008451,0.0021341,-3.1e-06,0.0004946,0.0011957,1.0008788,0.0001361,0.0002574,44.011364,44.5734634,104.9237823,105.2572174,377,664,942,2596,2.9096386,0.7627041,0.592638,2.4986737,0.6370896,0.7742831,0.4674958,-0.592638,2.7558386,-0.2262002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.3153076,2841.3676758,
Background,0,1586.9868164,5.8428178,323.130249,0.0010985,0.0013014,7e-07,0.0009913,0.0012057,2.5197515,5.1e-06,3.35e-05,286.782135,290.5428162,305.4865112,310.052063,479,886,1287,2447,1.7618511,0.440897,0.4683468,2.6868477,0.4739989,0.7339815,0.3106588,-0.4683468,1.9013209,-0.2367178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053.501709,3902.4768066,
Background,0,1562.7022705,2.4105363,56.2623062,-0.0036589,0.0050565,1.2e-06,-0.0042022,-0.0031155,1.3707898,0.0013233,0.0018463,43.2897224,43.4932785,228.0,228.5623322,531,951,1359,3436,2.613039,0.6824604,0.5664463,2.5593221,0.6044472,0.7667309,0.4331595,-0.5664463,2.5283296,-0.2293423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108.592041,3555.840332,
Background,0,1534.2260742,5.7127566,22.7286472,0.0002757,0.0012765,-1.5e-06,0.0011155,-0.0005641,2.4410329,1.47e-05,4.55e-05,45.2548332,45.2742462,413.2069702,414.7852783,581,1020,1571,2964,1.9058824,0.4334972,0.4879518,2.7039587,0.469931,0.7715967,0.3071665,-0.4879518,1.8866963,-0.2741294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.6293945,2847.4216309,
Background,0,1563.5402832,5.1736627,19.8956833,-0.0029836,0.0035537,5.2e-06,-0.0048604,-0.0011069,2.2646868,0.0009513,0.0018358,4.0,4.0015416,223.2218628,224.1572723,538,972,1452,3220,2.3127573,0.5596353,0.5362595,2.6988847,0.5490299,0.7737232,0.3784246,-0.5362595,2.2176309,-0.2545069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061.0874023,3557.7607422,
Background,0,1502.5439453,2.3492565,3.0002499,0.0013388,0.0013621,1.7e-06,0.0012195,0.0014581,1.0715042,1.21e-05,7.76e-05,29.9666481,29.9954224,38.6005173,38.6309547,504,891,1389,2514,1.8215488,0.3978639,0.476652,2.7559524,0.4474449,0.7742394,0.2882398,-0.476652,1.8099352,-0.2804054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.9525146,2282.5803223,
Background,0,1553.7091064,6.8410258,26.9265518,0.0004691,0.0011434,-9e-07,0.0004556,0.0004826,2.9595306,6e-06,2.57e-05,193.8478851,195.2639465,588.7758789,590.7952881,487,844,1470,2588,2.0663507,0.3603429,0.5081585,3.0184805,0.4319464,0.8424091,0.2755052,-0.5081585,1.7605442,-0.3426382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902.2399902,2902.7519531,
Background,0,1521.7049561,2.6618407,70.8509216,0.0010985,0.0012986,7e-07,0.0016097,0.0005874,1.1656247,2.1e-06,2.93e-05,74.0,74.0058441,315.0063477,316.0040283,568,986,1340,2790,1.8296146,0.5516664,0.4777542,2.3591549,0.5196685,0.7057066,0.3510896,-0.4777542,2.0820897,-0.2013652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.1297607,2664.467041,
Background,0,1493.053833,7.4395103,180.7569733,0.0003178,0.0019192,-3.5e-06,0.0003874,0.0002481,3.2070189,0.000924,0.0014331,98.9949493,99.2347794,101.9803925,102.2496719,400,690,953,2424,2.5130434,0.7150496,0.5568401,2.3824999,0.6067989,0.749673,0.4355937,-0.5568401,2.5435467,-0.2115849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221.0241699,1438.0167236,
Background,0,1473.1899414,2.3769977,67.9782333,-0.0011025,0.0011368,1.1e-06,-0.0013759,-0.0008292,1.0478396,0.0001035,0.0004961,25.4950981,25.515913,25.4950981,25.515913,496,798,1108,2878,2.6065164,0.7620113,0.5658324,2.233871,0.6149693,0.7555366,0.4440542,-0.5658324,2.5974729,-0.2198582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629.5275879,1012.1748657,
Background,0,1493.227417,2.0883999,16.2551689,-0.0001144,0.0007084,-5e-07,0.0001257,-0.0003545,0.9017681,1.44e-05,5.09e-05,4.0,4.0001378,4.0,4.0001378,475,866,1359,2512,1.9006928,0.4057288,0.4872706,2.8610525,0.4589474,0.7811563,0.2978559,-0.4872706,1.848418,-0.2817143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416.4420166,2048.5354004,
Background,0,1486.3530273,2.2661777,108.2337418,-0.0001917,0.0005489,-2e-07,2.2e-05,-0.0004055,0.9954653,2.69e-05,4.48e-05,258.5498047,259.6954956,317.1640015,317.8642883,381,611,938,1974,2.2307692,0.5457802,0.5272727,2.4619422,0.5247595,0.7830368,0.3557692,-0.5272727,2.1044776,-0.2799658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1578.3500977,1117.1844482,
Background,0,1524.760498,9.5751667,324.1915894,-0.0035584,0.0056829,-7e-06,-0.0071281,1.12e-05,4.2772079,0.0013267,0.0022736,21.4009342,21.609499,276.0452881,278.0396118,440,758,1166,3160,3.1688654,0.7269943,0.6130679,2.6500001,0.6309758,0.8100627,0.4609339,-0.6130679,2.71012,-0.2749326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.6412354,2147.0412598,
Background,0,1508.7629395,3.7757137,333.8825378,-0.0018534,0.0020332,2.7e-06,-0.002662,-0.0010448,1.6344095,0.0001432,0.0005592,21.189621,20.9423466,16.970562,16.9753933,323,563,775,2078,2.6909413,0.7564147,0.5736464,2.3993809,0.6269889,0.7557187,0.4567122,-0.5736464,2.6812904,-0.208867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.6945801,2201.6186523,
Background,0,1524.9263916,1.4105486,75.0464249,-0.0007841,0.000975,3e-07,-0.000214,-0.0013543,0.6383383,5.51e-05,5.8e-05,201.6457214,202.6409302,498.4014587,499.6098633,556,877,1246,1936,1.2075256,0.3290101,0.3764664,2.2410071,0.3563457,0.6782221,0.2168448,-0.3764664,1.5537721,-0.2354818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766.2251587,2361.1279297,
